Pathway	pVal	zScore	Genes	type
Stage III locally advanced nonsquamous non-small cell lung cancer	5.7851561519523	0	TUBB2A,FGFR1,TUBA1A,ERBB4,TUBB3,HSP90B1,NTRK3,NTRK2,ERBB3,TNK2,TUBB4B	Functional
Autosomal recessive neurological disorder	5.7851561519523	0	PSAT1,DLX5,FGFR1,C12orf57,CASK,HINT1,SVBP,HTRA1,EEF1A2,CNP,TAC3,HNMT,TUBA1A,ASCL1,PCDH15,CTSD,KCNMA1,COX4I1,HSP90B1,AHI1,SLC44A1,APP,EMC10,VWA1,ADD3,ANK3,CALR,GPAA1,DNAJC3,SCN1A,COL11A1,CLU,DCX,GRID2,RNASEH2C,ABHD12,ERBB3,VCP,BCL11A,EIF3F,ATCAY,TNK2,KDM5B,LINGO1,MYO3A,PHGDH,AKT3,ASAH1,GATM,TUBB2A,HYI,GPSM2,SEPTIN11,TRIO,PDE6D,ARL6IP1,PSAP,CANX,PNPLA8,FZD3,CC2D1A,BSCL2,DENND5A,UGDH,DEGS1,JMJD1C,MFF,DYNC1I2,UCHL1,ROBO1,NAXE,FBXO7,SERPINB6,EEF1B2,OPHN1,NRXN1,LAMP1,HEPACAM,NNAT,HSPA5,SYNE1,SCN2A,SEPTIN9,CCDC47,EGR2,TSPYL1,KCNJ10,KDM6B,NDUFAF8,NFE2L2	Functional
Central nervous system metastasis	5.77728352885242	0	FGFR1,AKT3,ERBB4,MCL1,PDGFRA,MAP4K5,TUBB3,TUBB4B,TUBB2A,TUBA1A,SOX11,NR3C1,CCND1,NTRK3,LRP1,NTRK2,ERBB3,CDK6,ASXL1,TNK2	Functional
Progressive non-small cell lung cancer	5.77728352885242	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,CLU,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Metastatic EGFR expressing non-small cell lung cancer	5.77469071827414	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,TNK2	Functional
Enzyme linked receptor protein signaling pathway	5.76955107862173	0	ERBB4,GFRA1,GNG7,AHI1,TEK,AKAP7,PTN,MTSS1,PTPRD,PTPRE,TRIO,MPZL1,NTRK3,LRP1,ERBB3	Functional
Refractory malignant tumor	5.7619538968712	0	JUN,FGFR1,ERBB4,MAP4K5,TUBB3,CHD1,RPS24,TEK,ZFP36L2,RPL6,TUBB2A,TUBA1A,NTRK3,NTRK2,TRAF4,CDK6,RPS25,HDAC2,IRS2,PDGFRA,TUBB,KLF6,RPL11,HSP90B1,FDFT1,TUBB4B,RPS12,CLU,NR3C1,CCND1,RPL34,RPS4X,ERBB3,TNK2,IDH2	Functional
Size of lesion	5.75202673363819	0	IRF1,FGFR1,HINT1,PKM,REEP3,TEK,FOS,STAT3,FERMT1,CXCL16,FERMT2,OLIG2,APOD,APP,TIMP2,SOX10,PRNP,CLU,NR3C1,SOX9,BCLAF1,BAX,DUSP6,CD24,NEDD4L,JUNB,JUN,PLS3,MYDGF,SULF2,LGALS1,HNRNPU,PCDH10,CDKN1A,PNPLA8,NTRK2,NT5E,MIF,OLFM1,KLF6,TXN,ANXA5,CHRM3,IGFBP2,PLAT,EGR1,CACNA1A,ARL4C,TMBIM6,IL6ST,IGF2,P2RX7,NAMPT,SH3GLB1,FAIM2,SEPTIN9,TIMP1,NFE2L2	Functional
Metastatic central nervous system tumor	5.73048705578208	0	FGFR1,AKT3,ERBB4,MCL1,PDGFRA,MAP4K5,TUBB3,TUBB4B,TUBB2A,TUBA1A,SOX11,NR3C1,CCND1,NTRK3,LRP1,NTRK2,ERBB3,CDK6,ASXL1,TNK2	Functional
Ovarian serous tumor	5.71444269099223	0	LRRN1,DCLK1,FGFR1,TUBB3,CHD1,PKM,LRP1B,IGSF21,ENC1,DTNA,TUBA1A,NUCB1,DDX39A,SPATA6,RGCC,PCDH15,ASTN1,MYO10,TXNIP,PDGFRA,CALB2,CDKN2C,HSP90B1,PABPC1,ZEB1,ASB3/GPR75-ASB3,NFIA,TUBB4B,FAM110B,BLM,FOXG1,CREB5,ITM2C,COL11A1,CLU,NR3C1,MAP3K1,VCAN,BCLAF1,PDIA3,CD24,LRRK2,EVL,TNK2,NEDD4L,ABHD2,MMP16,MYO3A,EPHA3,PIK3R1,H2AX,TUBB2A,NLGN1,PHF6,GRIA2,CDKN1A,NTRK3,NLGN3,FZD3,NTRK2,CC2D1A,RPN2,JPT1,ANKRD36C,IGFBP2,FBXO7,B2M,EEF1B2,CACNA1A,ARL4C,AKT2,SON,CREBRF,HSPA9,PBX1,PTPRD,COPA,NPAS3,SYNE1,TIMP3,SCN2A,SEPTIN9,MCAM,DAB2,TRA2A	Functional
Morphology of carcinoma cell lines	5.71219827006977	0	RAP1GAP,CRMP1,SMARCA4,EGR1,IL6ST,STMN1,GAL3ST1,STAT3,SMAD3,LRP1,TRIB2,KDM6B	Functional
Anaplastic carcinoma	5.70996538863748	0	FGFR1,ERBB4,MAP4K5,TUBB3,SMARCA4,PKM,TEK,TUBA1A,FERMT1,ASXL1,CTSD,SOX2,PDGFRA,HSP90B1,TNFRSF21,ZEB1,RTN1,TAOK3,TUBB4B,CALR,BLM,CD47,CTSC,CSPG4,GALNT10,CD24,ERBB3,BCL11A,TNK2,IDH2,CCN1,ZFYVE16,RBMX,PIK3R1,SPRY4,TUBB2A,ID4,TRIO,IL1RAP,NTRK3,NLGN3,NTRK2,BMP7,HMGA1,CREBRF,SPARC,HADHB,MCAM,NFE2L2	Functional
Duodenal neoplasm	5.70553377383841	0	BTG1,FGFR1,MCL1,TUBB3,HNRNPL,RBMX,SLC3A2,TAC3,TUBB2A,TUBA1A,TRIO,NTRK3,NTRK2,UGDH,DYNC1I2,IRS2,CDKN2C,HSP90B1,PCDH19,RPL22,B2M,AFAP1L2,ENAH,TUBB4B,GSE1,AKAP7,TTC3,COL11A1,SYNE1,SOX9,BAX,ERBB3,TNK2	Functional
Recurrent head and neck carcinoma	5.70333480973847	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Stage IIIA EGFR mutation positive non-small cell lung cancer	5.70114692359029	0	TUBB2A,TUBA1A,ERBB4,TUBB3,HSP90B1,ERBB3,TNK2,TUBB4B	Functional
Primary tumor	5.68613277963085	0	PSAT1,ETV1,FGFR1,ERBB4,TUBB3,KIF21A,CHD1,PKM,IFNAR1,TEK,STAT3,TUBA1A,SMAD3,MTDH,PDGFRA,HSP90B1,GFRA1,PDLIM5,TUBB4B,FOXG1,CLU,NR3C1,CCND1,VCAN,BAX,CD24,ERBB3,VCP,TNK2,IDH2,MGLL,JUN,LINGO1,CSNK1A1,CCN1,LGALS1,KHDRBS3,TUBB2A,NTRK3,NTRK2,CDK6,ELMO1,PNKD,HMGA1,KPNA2,KLF6,JPT1,B2M,CELF2,MDGA2,SH3GLB1,TMSB10/TMSB4X	Functional
Secondary neoplasm of nervous system	5.68193666503724	0	FGFR1,AKT3,ERBB4,MCL1,PDGFRA,MAP4K5,TUBB3,TUBB4B,TUBB2A,TUBA1A,SOX11,NR3C1,CCND1,NTRK3,LRP1,NTRK2,ERBB3,CDK6,ASXL1,TNK2	Functional
Abnormal morphology of hippocampus	5.65364702554936	0	BTG1,CLCN3,HDAC2,DBN1,SLC1A2,NFIA,CKB,APBB2,MAP2,TNR,SOX11,NPAS3,PLP1,GRIA2,TRIO,MAP1B,CSPG4,ST8SIA2,CD81	Functional
Abnormal morphology of telencephalon	5.64975198166584	0	DCLK1,DLX5,PHGDH,NCAM2,MAP2,ASCL1,TRIO,MAP1B,PSAP,NTRK2,ST8SIA2,CD81,CLCN3,ROBO1,SLC1A2,APP,B2M,OPHN1,NFIA,ARX,APBB2,CHL1,SOX11,NPAS3,PFN2,DRAXIN	Functional
HER2 negative hormone receptor negative breast cancer	5.64781748188864	0	IRF1,SATB1,ETV1,FGFR1,ERBB4,TUBB3,CHD1,PCDH9,TEK,FOS,TUBA1A,PIK3R3,PDGFRA,CDKN2C,HSP90B1,DPYSL2,MIAT,S100B,MLLT11,TIMP2,TUBB4B,KANK1,CREB5,CCND1,VCAN,IDH2,JUNB,JUN,SULF2,TUBB2A,PTN,ID4,TRIO,CDKN1A,NTRK3,NTRK2,CDK6,TOX3,NT5E,NONO,KPNA2,TUBB,IGFBP2,PLAT,EGR1,COPA,TIMP3,MCAM,TIMP1	Functional
Metastatic upper aero-digestive squamous cell carcinoma	5.61978875828839	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Stage IV malignant head and neck neoplasm	5.61978875828839	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Metastatic gastrointestinal carcinoma	5.59006687666871	0	FGFR1,HDAC2,CCN1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,CHD1,TUBB4B,TEK,TUBB2A,CD47,TUBA1A,CLU,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Diabetic complication	5.58670023591875	0	TUBB3,CLSTN1,ELAVL4,TEK,FOS,DTNA,STAT3,PPA1,PCDH15,KCNIP1,FOSB,CTSD,SOX2,SEMA5A,NTM,FERMT2,KCNMA1,OLIG2,PDGFRA,APOD,APP,ATP2A2,COL9A1,MAFF,PRRX1,CD47,COL16A1,CREB5,SCN1A,COL11A1,STMN2,CLU,NR3C1,CCND1,VCAN,BAX,SREK1,CD24,HES1,TCEAL2,COL9A2,NEDD4L,JUNB,JUN,LINGO1,ST3GAL6,NDRG2,MT2A,CCN1,SEMA3E,FNDC4,PIK3R1,THY1,PDE4B,NTNG1,CRABP1,COL9A3,C1QL1,GRIA2,CDKN1A,BCAN,NTRK2,CDK6,ELMO1,NT5E,JAG1,CHRM3,IGFBP2,DBI,EGR1,B2M,RALYL,CACNA1A,RAMP2,MT3,IGF2,ARC,EGR3,PTPRD,PTPRE,DPYSL3,FAIM2,SCN2A,CPE,EGR2,MCAM,SLC22A17,TIMP1,RAMP1,TMSB10/TMSB4X,ITM2B,PLPP3	Functional
Stage IIIB-IV non-small cell lung cancer	5.58502665202918	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,DSCAM,CLU,NR3C1,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Stage IV non-small cell lung carcinoma	5.58004425151024	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,CLU,NR3C1,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Duodenal cancer	5.58004425151024	0	BTG1,FGFR1,MCL1,TUBB3,HNRNPL,RBMX,SLC3A2,TAC3,TUBB2A,TUBA1A,TRIO,NTRK3,NTRK2,UGDH,DYNC1I2,IRS2,HSP90B1,PCDH19,RPL22,B2M,AFAP1L2,ENAH,TUBB4B,GSE1,AKAP7,TTC3,COL11A1,SYNE1,SOX9,BAX,ERBB3,TNK2	Functional
EGFR mutation negative non-small cell lung carcinoma	5.58004425151024	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NR3C1,NTRK3,NTRK2,ERBB3,TNK2	Functional
Undifferentiated malignant neoplasm	5.56066730616974	0	FGFR1,ERBB4,MAP4K5,TUBB3,SMARCA4,PKM,TEK,TUBA1A,FERMT1,ASXL1,CTSD,SOX2,PDGFRA,DIO3,HSP90B1,TNFRSF21,ZEB1,RTN1,TAOK3,TUBB4B,CALR,BLM,CD47,NR3C1,CTSC,CSPG4,GALNT10,CD24,ERBB3,BCL11A,TNK2,IDH2,CCN1,ZFYVE16,RBMX,PIK3R1,SPRY4,TUBB2A,ID4,TRIO,IL1RAP,NTRK3,NLGN3,NTRK2,BMP7,HMGA1,CREBRF,SPARC,HADHB,MCAM,NFE2L2	Functional
Encephalopathy with early-onset epilepsy	5.55595520408192	0	NRXN2,SCN3A,FGF12,HNRNPU,PCDH19,SLC1A2,EEF1A2,ARX,CACNA1A,NRXN1,RNF13,KCNQ2,HYI,SCN1A,SCN2A,BSCL2,DENND5A,TNK2,UGDH	Functional
Syndromic infantile epilepsy	5.55595520408192	0	NRXN2,SCN3A,FGF12,HNRNPU,PCDH19,SLC1A2,EEF1A2,ARX,CACNA1A,RNF13,KCNQ2,HYI,SCN1A,NR3C1,SCN2A,BSCL2,DENND5A,TNK2,UGDH	Functional
Abnormal morphology of cerebellum	5.54211810326601	0	PHGDH,NRCAM,CDKN2C,AHI1,NFIA,CACNA1A,CSMD3,GPR37L1,KHDRBS1,ANK3,MAP2,PRNP,CNTN1,SOX11,CCND1,GRID2,MAP1B,PSAP,SLC1A3,UGT8,ERBB3,ST8SIA2,ASTN1	Functional
Juvenile dermatomyositis	5.54060751224077	0	PLS3,PLOD2,JAG1,SPARC,LTBP3,TUBB2A,KDELR2,CELF2,CNN3,PGRMC1,DAB2,SDC3	Functional
Invasive lung adenocarcinoma	5.53760200210104	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,SMARCA4,TUBB4B,IL6ST,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,TNK2	Functional
Pediatric-onset neurological disease	5.51286162452281	0	SCN3A,TUBB3,HNRNPU,ASAH1,EEF1A2,TUBB2A,KCNQ2,STAT3,HYI,TUBA1A,SLC6A1,BSCL2,DENND5A,UGDH,NRXN2,HDAC2,FGF12,HSP90B1,PCDH19,H3-3A/H3-3B,SLC1A2,SLC44A1,ARX,CACNA1A,TUBB4B,RNF13,SCN1A,NR3C1,SYNE1,SCN2A,TNK2	Functional
Recurrent metastatic solid tumor	5.51144928349956	0	FGFR1,HDAC2,ERBB4,PDGFRA,TUBB3,HSP90B1,IFNAR1,TUBB4B,TUBB2A,TUBA1A,NR3C1,ERBB3,CDK6,TNK2	Functional
Periodontal disease	5.50863830616573	0	IRF1,SCAF11,RPS27,TUBB3,CLSTN1,PDE4B,STARD7,TUBB2A,STAT3,TUBA1A,MTSS1,CDKN1A,ST6GAL1,FERMT1,HSP90B1,EGR1,TUBB4B,MAFF,GTPBP6,SCN1A,NR3C1,CCND1,CTSC,EGR2,BAX,EVL	Functional
Small-cell carcinoma	5.50584540598156	0	DLX5,NTSR1,ERBB4,MAP4K5,ANXA6,SMARCA4,SP8,PAK3,FOS,RPL8,TUBA1A,LUZP2,LRP1,KCNMA1,MYO10,CDKN2C,RSRC2,HSP90B1,GPM6B,SLC1A2,DPYSL2,MIAT,ENAH,COL16A1,BCLAF1,OPCML,ERBB3,BCL11A,NLGN4X,INSM1,RBBP7,CXXC4,RPL5,ARMCX3,NTRK3,SPECC1,CDK6,SLC6A1,PCDH17,GRM5,SRSF1,NAXE,TM9SF3,EGR1,CACNA1A,NRXN1,IGF2,TSPAN3,GSE1,SHTN1,GTPBP6,TUBB2B,PTPRE,FGFR1,DMPK,NRCAM,TUBB3,ZNF397,LRP1B,REEP3,SPRED1,CRISPLD1,DTNA,SYT11,SH3BGRL3,CLVS2,CTSD,MTDH,B3GAT2,ASTN1,NKX2-2,SEMA5A,TET1,PDGFRA,PCDH19,SLC44A1,PPP1R9A,COL9A1,KIF13A,BLM,COL11A1,CCND1,PDIA3,RPL27,DPP10,CHPT1,MGLL,NAV1,GPM6A,SF1,CSMD3,CLPTM1,GRIA3,KRT10,DLX1,DENND5A,SOX6,DYNC1I2,OPHN1,PTCHD4,ADGRL3,ARC,PTPRD,SEZ6L2,ANKS1B,DSEL,DRAXIN,ETV1,KIF21A,KCND2,BRINP3,GRIA4,RSRP1,ADGRB3,MYT1,TMEM256,PDLIM5,AHI1,CLDND1,TIMP2,NEU4,ADD3,PRRX1,ARPP21,VCAN,GALNT10,TNK2,COL9A2,PDE4B,CKB,SLC3A2,TUBB2A,PCDH10,CDH10,LIMA1,FZD3,NTRK2,UGDH,COBL,UCHL1,ANKRD36C,BRD3,ROBO1,CHRM3,IGFBP2,KAZN,BCHE,B2M,AFAP1L2,CLK1,LTBP3,PXDC1,CNTN1,SLITRK2,HES4,PDZRN3,FNIP1,FIP1L1,NACA,SCAF11,ITGAV,AASS,PLD3,CLSTN1,PCDH9,ELAVL4,DNER,TEK,MAP2,TNR,XKR4,ASCL1,MAP1B,PCDH15,FOSB,AGAP1,CCNL1,CD81,BRD2,DBN1,LHFPL3,CPEB4,RPL22,ZEB1,ASB3/GPR75-ASB3,ATG101,CTTNBP2,TUBB4B,KHDRBS1,ANK3,APBB2,TTC3,SCN1A,ANKRD28,NR3C1,DCX,GNG12,PGRMC1,LRRK2,P4HB,MYO3A,PHGDH,PRDX4,AFDN,TJP1,HNRNPF,FHL1,XYLT1,NLGN1,KLRC2,TRIO,CDKN1A,CC2D1A,NONO,SCG3,JAG1,RPL21,SRSF2,HIP1R,FDFT1,SON,STMN1,SHC3,CCDC50,PBX1,DLX6,NPAS3,HSPA5,SYNE1,PEX10,SCN2A,VAPA,TRA2B,NFE2L2	Functional
Locally advanced lung adenocarcinoma	5.5016894462104	0	TUBB2A,FGFR1,TUBA1A,ERBB4,PDGFRA,TUBB3,HSP90B1,ERBB3,TNK2,TUBB4B	Functional
Invasive mammary tumor	5.49894073778225	0	FGFR1,ERBB4,SAMD4A,AASS,TUBB3,CHD1,PKM,PNN,TEK,TUBA1A,SMAD3,LUZP2,WDR1,ASXL1,FERMT2,TET1,APOD,PCDH7,FNBP1L,HSP90B1,PABPC1,ZEB1,TUBB4B,BLM,RBM39,COL11A1,NR3C1,MAP3K1,CCND1,SSPN,GPC2,ERBB3,TNK2,MGLL,YWHAQ,CCN1,AKT3,CALM1 (includes others),MCL1,LGALS1,CSMD3,PEA15,TUBB2A,COL9A3,LIMA1,TRIO,CDKN1A,NTRK3,PSAP,NTRK2,CDK6,HDAC2,RPN2,TUBB,ANKRD36C,FDFT1,IGF2,SHTN1,EGR3,HES4,SYNE1,PTPRE,HNRNPA2B1,TRA2B	Functional
Recurrent advanced non-small cell lung cancer	5.49485002168009	0	TUBB2A,TUBA1A,ERBB4,TUBB3,NR3C1,HSP90B1,NTRK3,NTRK2,ERBB3,TNK2,TUBB4B	Functional
X-linked hereditary disease	5.4907974776689	0	SCN3A,CASK,TUBB3,BEX5,PAK3,LAGE3,CNN3,PCDH19,SLC1A2,APP,SCN1A,CLU,NR3C1,DCX,PGRMC1,TCEAL2,PLS3,NLGN4X,HNRNPU,FHL1,TSPAN7,RBMX,AP1S2,TUBB2A,KCNQ2,GRIA3,PHF6,PSAP,NLGN3,SLC1A3,LAMA4,SDC3,NONO,NRXN2,PLOD2,JAG1,ROBO1,CHRM3,EGR1,OPHN1,ARX,CACNA1A,SPARC,IGF2,LTBP3,SAPCD2,KDM1A,KDELR2,CELF2,PLP1,TIMP3,SCN2A,DAB2,ATP6AP2,RPL10	Functional
Organization of organelle	5.48148606012211	0	SATB1,DMPK,CHADL,CNP,REEP3,PAK3,RPS19,TNR,TUBA1A,MTSS1,TMED10,KIFC3,PCDH15,EMP2,RPS6,FNBP1L,H4C3,DBN1,H3-3A/H3-3B,APP,PPP1R9A,DPYSL2,ATP2A2,CTTNBP2,ENAH,KIF13A,ANK3,CEP170,BLM,PRNP,ETV5,COL11A1,RHOB,SFPQ,BAX,HES1,VCP,EVL,PGRMC1,LRRK2,CSNK1A1,PLS3,TMEM106B,SEMA3E,NLGN4X,GPM6A,HNRNPU,RHOC,RAB6A,INA,NLGN1,ARMCX3,SEPTIN11,LIMA1,NLGN3,GOLM1,SLC6A1,TMED9,HMGA1,HDAC2,MFF,TUBB,RAB5A,RRBP1,PLAAT1,PPIB,SIRT2,ADGRL3,AKT2,SPARC,P2RX7,RAB3A,SH3GLB1,SLITRK2,SYNE1,PEX10,CHCHD10,CCDC47,FNIP1,ANKS1B	Functional
Metastatic estrogen receptor positive solid tumor	5.45842075605342	0	FGFR1,HDAC2,ERBB4,TUBB,TUBB3,CHD1,TUBB4B,TUBB2A,TUBA1A,NR3C1,ERBB3,CDK6	Functional
Arrest in G2 phase	5.45469288353418	0	JUN,TAF1D,FGFR1,RPL7A,SOX8,LGALS1,SMARCA4,H2AX,RPS20,NFIC,ARL4D,RPL37,CDKN1A,RBM5,MTDH,CDH13,SRSF1,HDAC2,RPS6,SRSF2,FABP7,PPP2R2A,IGF2,BLM,CELF2,CCND1,DCX,RBX1,IDH2,KDM5B,RPS15	Functional
Advanced serous ovarian adenocarcinoma	5.43297363384094	0	TXNIP,PDGFRA,CALB2,TUBB3,CACNA1A,ARL4C,H2AX,TUBB4B,TUBB2A,DTNA,TUBA1A,NR3C1,RGCC,MCAM,CD24,FZD3,DAB2,TRA2A	Functional
Vascular tumor	5.42829116819131	0	DCLK1,FGFR1,NRCAM,TJP1,TUBB3,SERPINE2,ADGRA1,SMARCA4,PIK3R1,THY1,SBDS,IFNAR1,LRP1B,TEK,TUBB2A,STAT3,TUBA1A,CDKN1A,NTRK2,TET1,ADGRB3,PDGFRA,JAG1,CDKN2C,GPM6B,DBN1,TUBB4B,IL6ST,IGF2,BLM,CCNH,PTPRD,STMN2,CLU,NR3C1,MAP3K1,CCND1,VCAN,ERBB3	Functional
Familial neurodevelopmental disorder	5.42481215507234	0	SCN3A,DMPK,CASK,TUBB3,SVBP,EEF1A2,SPRED1,TUBA1A,GRIA4,FGF12,SOX5,GFRA1,NAV2,PCDH19,SLC1A2,EMC10,RNF13,SOX10,FOXG1,SCN1A,DCX,CSPG4,EIF3F,TNK2,AKT3,SEMA3E,SYT1,HNRNPU,NTNG1,CSMD3,RPL6,TUBB2A,KCNQ2,HYI,GRIA2,SLC6A1,CC2D1A,BSCL2,DENND5A,UGDH,NRXN2,SRRM2,DYNC1I2,TUBB,ROBO1,ARX,CACNA1A,NRXN1,TUBB2B,SCN2A,KDM6B	Functional
Severe COVID-19	5.42250820016277	0	IER2,LGALS1,TUBB3,PKM,AP1S2,ZFP36L2,FOS,TUBB2A,TUBA1A,TXNIP,RSRP1,TUBB,RACK1,APOD,PABPC1,ARL4C,TUBB4B,SPARC,CLU,NR3C1,HSPA5,VCAN,SYNE1,JUNB	Functional
Brain metastasis	5.4145392704915	0	FGFR1,AKT3,ERBB4,MCL1,MAP4K5,TUBB3,TUBB4B,TUBB2A,TUBA1A,SOX11,NR3C1,CCND1,NTRK3,LRP1,NTRK2,ERBB3,CDK6,ASXL1,TNK2	Functional
Neurodevelopmental disorder with seizures	5.4145392704915	0	NRXN2,SCN3A,FGF12,HNRNPU,PCDH19,SLC1A2,EEF1A2,ARX,CACNA1A,RNF13,KCNQ2,HYI,SCN1A,SCN2A,GRIA4,BSCL2,DENND5A,TNK2,UGDH	Functional
Hereditary cancer-predisposing syndrome	5.40230481407449	0	FGFR1,TUBB3,CCNG1,RPS24,BEX5,SMARCA4,SBDS,SPRED1,RPL26,RPS19,STAT3,TUBA1A,PCSK7,ASXL1,RPS29,PIK3R3,RPL11,PDGFRA,HSP90B1,RPL35,RPS7,TUBB4B,CALR,BLM,CLU,NR3C1,CCND1,SOX9,CSPG4,GPC2,ERBB3,VCP,EVL,RPL15,LRRK2,TCEAL2,RPL27,RPS27,RPL35A,PIK3R1,CSMD3,RPS20,TUBB2A,RPL5,BEX2,RPS15A,NTRK3,MAFG,FZD3,SRSF2,ROBO1,EGR1,PPP2R2A,RPS14,IGF2,SAPCD2,CCNH,RPS28,HNRNPA2B1,HERPUD1,NFE2L2	Functional
Endometriosis	5.40011692792631	0	ITGAV,HINT1,SPRY2,STC1,PRKACB,TEK,FOS,RPS19,TUBA1A,RGCC,CD81,GUCY1A2,PDGFRA,APOD,ITGB8,TIMP2,ANK3,CHL1,COL11A1,NR3C1,PGRMC1,TCEAL2,TNK2,MGLL,JUNB,JUN,CCN1,PIK3R1,THY1,CKB,RPL12,TRIO,IL1RAP,NTRK2,ELMO1,LAMA4,ITM2A,OLFM1,FCHSD2,IRS2,MBP,UCHL1,CHRM3,SAT1,EGR1,KLF3,CNTN1,ATF4,DPYSL3,CPE,RPS23,RAMP1,TMSB10/TMSB4X,ITM2B,PLPP3	Functional
Stage IV progressive non-small cell lung cancer	5.39577394691553	0	FGFR1,ERBB4,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,CLU,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Organization of plasma membrane	5.38721614328026	0	SEMA3E,NLGN4X,TUBB,GPM6A,RHOC,APP,ADGRL3,CTTNBP2,SPARC,PAK3,ANK3,P2RX7,TNR,TUBA1A,NLGN1,ETV5,SEPTIN11,SLITRK2,LIMA1,NLGN3,SLC6A1,VCP,PGRMC1	Functional
CD274 positive malignant solid tumor	5.3777859770337	0	FGFR1,HDAC2,PDGFRA,TUBB3,HSP90B1,CHD1,TUBB4B,TEK,TUBB2A,TUBA1A,NR3C1,NTRK3,NTRK2,TNK2	Functional
Progressive stage IV lung squamous cell carcinoma	5.3777859770337	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,TNK2	Functional
T-lymphoblastic leukemia/lymphoma	5.36957212497498	0	BTG1,SATB1,FGFR1,MAP4K5,TUBB3,SMARCA4,PKM,IFNAR1,LRP1B,TUBA1A,LUZP2,PCDH15,ASXL1,RPL14,RND3,LRRC4C,OLIG2,PDGFRA,NAV2,RPL22,RTN1,PPP1R9A,CTTNBP2,TUBB4B,ANK3,CEP170,BLM,TTC3,NR3C1,RHOB,RPL36,CSPG4,BAX,IDH2,GOLGA8A/GOLGA8B,AFDN,EPHA3,TMEM87A,PIK3R1,CSMD3,ZFP36L2,TUBB2A,PCDH10,NLGN1,PHF6,CDH10,KRT10,CDKN1A,PCDH17,PON2,COBL,JMJD1C,HDAC2,BCL11B,FDFT1,NRXN1,IL6ST,PDZD2,COPA,SYNE1,RPL10	Functional
Size of tumor	5.33724216831843	0	JUN,FGFR1,HINT1,SULF2,LGALS1,HNRNPU,REEP3,STAT3,PCDH10,CDKN1A,FERMT1,NTRK2,MIF,FERMT2,OLIG2,KLF6,CHRM3,IGFBP2,EGR1,ARL4C,TMBIM6,TIMP2,IL6ST,IGF2,P2RX7,SOX10,CLU,NR3C1,SEPTIN9,SOX9,BAX,CD24,TIMP1,NEDD4L,JUNB,NFE2L2	Functional
Small intestine carcinoma	5.32975414692588	0	FGFR1,TUBB3,HNRNPL,RBMX,SLC3A2,TAC3,TUBB2A,TUBA1A,TRIO,NTRK3,NTRK2,UGDH,DYNC1I2,IRS2,HSP90B1,PCDH19,RPL22,AFAP1L2,ENAH,TUBB4B,GSE1,AKAP7,TTC3,COL11A1,CLU,SYNE1,SOX9,BAX,ERBB3,TNK2	Functional
Progressive advanced non-small cell lung cancer	5.32975414692588	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,CLU,NTRK3,NTRK2,ERBB3,TNK2	Functional
Recurrent head and neck cancer	5.32975414692588	0	FGFR1,ERBB4,PDGFRA,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Temporal lobe atrophy	5.32422165832592	0	CLCN3,ERBB4,APP,KDM1A,PRNP,NAMPT,GRIA2,UBB,CHCHD10,VCP,GRIA4,LRRK2,HNRNPA2B1	Functional
